service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances (Compute Engine),N1 Predefined Instance Core running in Sao Paulo,87600.0,southamerica-east1,6F81-5844-456A,E8F8-A4B0-C91F,4395.768,
Instances (Compute Engine),N1 Predefined Instance Ram running in Sao Paulo,328500.0,southamerica-east1,6F81-5844-456A,E128-228B-EA2A,2209.1625,
Instances (Compute Engine),Nvidia Tesla T4 GPU running in Sao Paulo,21900.0,southamerica-east1,6F81-5844-456A,785F-ECAE-DA34,10512,
Instances (Compute Engine),Balanced PD Capacity in Sao Paulo,15360.0,southamerica-east1,6F81-5844-456A,6F9F-D10A-6613,2304,
,,,,,,,
,,,,,Total Price:,19420.9305,
,,,,,,,
"Prices are in US dollars, effective date is 2026-04-05T23:21:01.862Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJtWlRZMU1qTmtNeTAyTTJRd0xUUmxZemt0WVRFeVppMWxZMlJqWkdWa056RXlaakFRQVE9PRokRTgzQTE0MEMtNDRCNS00MjA0LThBQUUtQkIzNEVFNjVCNzJE,,,,,,
